Time (s),z3_pro_1,z3_pro_2,z3_pro_3,z4_pro_1,z4_pro_2,z4_pro_3,z3_none_1,z3_none_2,z3_none_3,z4_none_1,z4_none_2,z4_none_3
0s,0.12664,0.13188,0.12843,0.13064,0.12443,0.12615,0.13031,0.12617,0.12813,0.12656,0.12318,0.12644
300s,0.12679,0.13197,0.12703,0.1286,0.12435,0.12526,0.13094,0.12725,0.12874,0.12678,0.11975,0.12631
600s,0.12656,0.13244,0.13147,0.13137,0.12478,0.12742,0.13144,0.12702,0.12974,0.12683,0.12016,0.12709
900s,0.12629,0.13305,0.12795,0.12929,0.12475,0.12662,0.1325,0.12707,0.1308,0.12778,0.12064,0.1277
1200s,0.12754,0.13359,0.12755,0.12875,0.12439,0.12685,0.13211,0.12625,0.13127,0.12868,0.12,0.12691
1500s,0.1271,0.13388,0.1285,0.13028,0.12719,0.12655,0.13332,0.12689,0.13187,0.12904,0.12219,0.12836
1800s,0.12843,0.13416,0.13215,0.1349,0.12514,0.12685,0.13374,0.12684,0.13117,0.1289,0.12063,0.12898
2100s,0.12898,0.1342,0.13209,0.13248,0.1267,0.12785,0.13401,0.12745,0.13188,0.1295,0.12262,0.12973
2400s,0.12913,0.13543,0.13012,0.13105,0.12584,0.12792,0.13395,0.12834,0.13173,0.12922,0.12405,0.1299
2700s,0.12972,0.13539,0.13057,0.13244,0.12863,0.13042,0.13425,0.12886,0.13408,0.13054,0.1235,0.13094
2999s,0.13204,0.13635,0.13123,0.13255,0.12755,0.12948,0.13498,0.12901,0.13401,0.13126,0.12139,0.1299
3299s,0.131,0.13694,0.13289,0.13589,0.12882,0.12936,0.13627,0.12963,0.13394,0.13197,0.12415,0.12984
3599s,0.1306,0.13593,0.13212,0.13396,0.13085,0.1308,0.13725,0.13302,0.13586,0.13224,0.12297,0.13163
3899s,0.13212,0.13839,0.13228,0.13469,0.12933,0.13082,0.13593,0.13076,0.13591,0.13203,0.12576,0.13141
4199s,0.13247,0.13981,0.13713,0.13413,0.13031,0.1314,0.13797,0.13012,0.137,0.13279,0.12582,0.13303
4499s,0.13334,0.14025,0.13395,0.13482,0.13097,0.13209,0.13761,0.13327,0.13647,0.13484,0.12442,0.13199
4799s,0.13483,0.13968,0.13539,0.1363,0.13017,0.13163,0.13851,0.13519,0.13778,0.13515,0.12562,0.13362
5099s,0.13466,0.14095,0.13501,0.13595,0.13111,0.13387,0.13996,0.13597,0.13901,0.1345,0.1274,0.13384
5399s,0.13616,0.14187,0.13965,0.1386,0.13155,0.13692,0.14003,0.1339,0.13915,0.13583,0.12922,0.13537
5699s,0.13668,0.14562,0.13729,0.13847,0.1344,0.13552,0.14395,0.13802,0.14057,0.13726,0.12807,0.13571
5999s,0.13813,0.14339,0.13944,0.13918,0.13428,0.13534,0.1437,0.13902,0.14215,0.13834,0.13021,0.13568
6299s,0.14135,0.14641,0.14091,0.14054,0.13521,0.13776,0.14494,0.13989,0.14358,0.13864,0.13036,0.13686
6599s,0.14005,0.14631,0.14057,0.14009,0.13776,0.14063,0.14492,0.14046,0.14318,0.13982,0.13166,0.13769
6899s,0.14228,0.147,0.14106,0.14392,0.13937,0.13888,0.1463,0.14089,0.14542,0.14284,0.1309,0.13767
7199s,0.14452,0.14975,0.14286,0.14326,0.14062,0.13939,0.14783,0.14328,0.14549,0.1428,0.13384,0.13945
7499s,0.14568,0.14952,0.14631,0.14619,0.14168,0.14024,0.14855,0.14178,0.14623,0.14381,0.13462,0.14029
7799s,0.14683,0.1493,0.14439,0.14462,0.14198,0.14568,0.14951,0.14433,0.14876,0.14577,0.13673,0.14188
8099s,0.14969,0.1547,0.1495,0.14569,0.14193,0.14475,0.15132,0.14363,0.1496,0.14631,0.13693,0.1425
8399s,0.15044,0.15408,0.14765,0.14832,0.14286,0.1463,0.15342,0.14574,0.15073,0.14875,0.13831,0.14412
8699s,0.15351,0.15501,0.15149,0.15115,0.14508,0.14882,0.15359,0.1469,0.15182,0.14903,0.13826,0.14385
9000s,0.15166,0.1563,0.14876,0.14951,0.14569,0.14744,0.1548,0.14591,0.15408,0.15174,0.14078,0.14552
9299s,0.15955,0.15928,0.15254,0.15131,0.14742,0.15023,0.1559,0.14812,0.15236,0.15082,0.14261,0.14928
9599s,0.15968,0.15876,0.15147,0.15405,0.14802,0.15019,0.1598,0.15026,0.15459,0.15243,0.14393,0.14919
9899s,0.15611,0.15884,0.15582,0.1546,0.15154,0.15384,0.15967,0.15109,0.15569,0.15273,0.1455,0.15125
10199s,0.15711,0.16217,0.15807,0.15458,0.15067,0.15277,0.16274,0.1519,0.15792,0.1571,0.1463,0.15165
10499s,0.16022,0.16378,0.15747,0.15855,0.15537,0.15344,0.16425,0.15382,0.16218,0.15887,0.14707,0.15191
10799s,0.15885,0.16529,0.15702,0.15743,0.15278,0.156,0.16441,0.15459,0.16076,0.16,0.14996,0.15592
11099s,0.16978,0.16826,0.16422,0.16085,0.15801,0.1586,0.16739,0.1558,0.16346,0.16191,0.15304,0.15497
