Analysis Type:,PANTHER Overrepresentation Test (Released 20240226),,,,,
Annotation Version and Release Date:,GO Ontology database DOI:  10.5281/zenodo.10536401 Released 2024-01-17,,,,,
Analyzed List:,sig_up_dna_ids.txt (Saccharomyces cerevisiae),,,,,
Reference List:,all_dna_ids.txt (Saccharomyces cerevisiae),,,,,
Test Type:,FISHER,,,,,
Correction:,BONFERRONI,,,,,
Bonferroni count:,1969,,,,,
GO biological process complete,all_dna_ids.txt - REFLIST (4992),sig_up_dna_ids.txt (344),sig_up_dna_ids.txt (expected),sig_up_dna_ids.txt (over/under),sig_up_dna_ids.txt (fold Enrichment),sig_up_dna_ids.txt (P-value)
Arp2/3 complex-mediated actin nucleation (GO:0034314),7,6,0.48,+,12.44,1.33E-03
positive regulation of proteolysis involved in protein catabolic process (GO:1903052),10,6,0.69,+,8.71,3.35E-02
positive regulation of proteasomal protein catabolic process (GO:1901800),10,6,0.69,+,8.71,3.35E-02
proteasomal ubiquitin-independent protein catabolic process (GO:0010499),17,10,1.17,+,8.54,5.27E-05
DNA unwinding involved in DNA replication (GO:0006268),14,8,0.96,+,8.29,1.92E-03
nuclear polyadenylation-dependent tRNA catabolic process (GO:0071038),16,8,1.1,+,7.26,7.29E-03
"nuclear-transcribed mRNA catabolic process, exonucleolytic, 3'-5' (GO:0034427)",16,8,1.1,+,7.26,7.29E-03
tRNA surveillance (GO:0106354),16,8,1.1,+,7.26,7.29E-03
"exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000467)",18,9,1.24,+,7.26,1.74E-03
pre-replicative complex assembly involved in cell cycle DNA replication (GO:1902299),19,9,1.31,+,6.87,3.10E-03
pre-replicative complex assembly involved in nuclear cell cycle DNA replication (GO:0006267),19,9,1.31,+,6.87,3.10E-03
"nuclear-transcribed mRNA catabolic process, exonucleolytic (GO:0000291)",19,9,1.31,+,6.87,3.10E-03
pre-replicative complex assembly (GO:0036388),20,9,1.38,+,6.53,5.30E-03
snRNA 3'-end processing (GO:0034472),20,9,1.38,+,6.53,5.30E-03
tRNA catabolic process (GO:0016078),18,8,1.24,+,6.45,2.19E-02
rRNA 3'-end processing (GO:0031125),23,10,1.58,+,6.31,2.13E-03
snRNA processing (GO:0016180),21,9,1.45,+,6.22,8.71E-03
regulation of protein catabolic process (GO:0042176),21,9,1.45,+,6.22,8.71E-03
polyadenylation-dependent ncRNA catabolic process (GO:0043634),19,8,1.31,+,6.11,3.56E-02
nuclear polyadenylation-dependent ncRNA catabolic process (GO:0071046),19,8,1.31,+,6.11,3.56E-02
