Analysis Type:,PANTHER Overrepresentation Test (Released 20240226),,,,,
Annotation Version and Release Date:,GO Ontology database DOI:  10.5281/zenodo.10536401 Released 2024-01-17,,,,,
Analyzed List:,nmd_up.txt (Saccharomyces cerevisiae),,,,,
Reference List:,nmd_all.txt (Saccharomyces cerevisiae),,,,,
Test Type:,FISHER,,,,,
Correction:,BONFERRONI,,,,,
Bonferroni count:,1999,,,,,
GO biological process complete,nmd_all.txt - REFLIST (5784),nmd_up.txt (9),nmd_up.txt (expected),nmd_up.txt (over/under),nmd_up.txt (fold Enrichment),nmd_up.txt (P-value)
translational termination (GO:0006415),16,3,0.02,+, > 100,2.89E-03
"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)",27,3,0.04,+,71.41,1.50E-02
protein-containing complex disassembly (GO:0032984),71,4,0.11,+,36.21,5.01E-03
nuclear-transcribed mRNA catabolic process (GO:0000956),109,4,0.17,+,23.58,2.80E-02
mRNA catabolic process (GO:0006402),114,4,0.18,+,22.55,3.34E-02
