id,annot
PRE1,ProteosomeCore
PRE2,ProteosomeCore
PRE3,ProteosomeCore
PRE4,ProteosomeCore
PRE5,ProteosomeCore
PRE6,ProteosomeCore
PRE7,ProteosomeCore
PRE8,ProteosomeCore
PRE9,ProteosomeCore
PRE10,ProteosomeCore
PUP1,ProteosomeCore
PUP2,ProteosomeCore
PUP3,ProteosomeCore
RPN1,ProteosomeCore
RPN2,ProteosomeCore
RPN3,ProteosomeCore
RPN5,ProteosomeCore
RPN6,ProteosomeCore
RPN7,ProteosomeCore
RPN8,ProteosomeCore
RPN9,ProteosomeCore
RPN10,ProteosomeCore
RPN11,ProteosomeCore
RPN12,ProteosomeCore
RPN13,ProteosomeCore
RPT1,ProteosomeCore
RPT2,ProteosomeCore
RPT3,ProteosomeCore
RPT4,ProteosomeCore
RPT5,ProteosomeCore
RPT6,ProteosomeCore
SCL1,ProteosomeCore
SEM1,ProteosomeCore
MPO1,ProteosomeCore
SMY1,ProteosomeCore
TFC1,ProteosomeCore
UMP1,ProteosomeCore
YTH1,ProteosomeCore
ALG13,ProteosomeCore
YAP1,ProteosomeCore
YPI1,ProteosomeCore
YOL038C-A,ProteosomeCore
RPN4,ProteosomeCore
SMY2,ProteosomeCore
BLM10,ProteosomeCore
MAC1,Doa10_pathway
PRS2,Doa10_pathway
UBC6,Doa10_pathway
UBC7,Doa10_pathway
CUE1,Doa10_pathway
SSM4,Doa10_pathway
YGL043W,Doa10_pathway
UBA1,Cdc48_cofactors
NPL4,Cdc48_cofactors
CDC48,Cdc48_cofactors
CUZ1,Cdc48_cofactors
TFC4,Cdc48_cofactors
ERV25,Cdc48_cofactors
