name,Ct..dR.
wt_YFP_1,16.67
wt_YFP_2,17.59
wt_YFP_3,18.18
doa10_YFP_1,17.75
doa10_YFP_2,17.65
doa10_YFP_3,16.71
cl1_YFP_1,22.63
cl1_YFP_2,21.77
cl1_YFP_3,21.81
wt_YFP_1,16.69
wt_YFP_2,17.51
wt_YFP_3,18.07
doa10_YFP_1,17.76
doa10_YFP_2,17.41
doa10_YFP_3,16.63
cl1_YFP_1,22.31
cl1_YFP_2,21.67
cl1_YFP_3,21.89
wt_CFP_1,13.47
wt_CFP_2,14.21
wt_CFP_3,14.64
doa10_CFP_1,14.34
doa10_CFP_2,14.3
doa10_CFP_3,13.22
cl1_CFP_1,13.42
cl1_CFP_2,13.1
cl1_CFP_3,13.37
wt_CFP_1,13.57
wt_CFP_2,14.22
wt_CFP_3,15.16
doa10_CFP_1,14.66
doa10_CFP_2,14.48
doa10_CFP_3,13
cl1_CFP_1,14.07
cl1_CFP_2,13.46
cl1_CFP_3,13.59
